
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
       alpha[1,0]      0.59      0.46      0.54     -0.11      1.30    268.42      1.00
       alpha[1,1]     -4.35      1.23     -4.25     -6.26     -2.47    743.99      1.00
       alpha[1,2]      8.51      1.28      8.56      6.22     10.44    593.78      1.00
       alpha[1,3]     -7.58      0.94     -7.53     -9.10     -6.10    791.39      1.00
       alpha[1,4]     -5.05      0.94     -5.03     -6.54     -3.57   1016.89      1.00
       alpha[2,0]     -0.48      0.35     -0.47     -1.00      0.08    266.45      1.00
       alpha[2,1]      9.31      2.30      9.21      5.94     13.49    564.84      1.00
       alpha[2,2]      3.13      0.78      3.14      1.88      4.47    506.50      1.00
       alpha[2,3]     -2.99      0.70     -2.96     -4.06     -1.79    444.60      1.00
       alpha[2,4]      1.55      0.60      1.54      0.58      2.51    663.71      1.00
       alpha[3,0]      0.03      0.36      0.03     -0.57      0.60    594.46      1.00
       alpha[3,1]      7.54      1.93      7.48      4.16     10.22   1182.33      1.00
       alpha[3,2]      6.15      0.93      6.14      4.37      7.44    900.02      1.00
       alpha[3,3]     -4.74      0.58     -4.75     -5.71     -3.83    843.23      1.00
       alpha[3,4]     -0.77      0.42     -0.77     -1.42     -0.06   1439.83      1.00
       alpha[4,0]      0.00      0.41     -0.03     -0.64      0.64    279.42      1.00
       alpha[4,1]     11.91      3.02     11.70      6.95     16.70   1359.59      1.00
       alpha[4,2]      6.20      1.02      6.16      4.54      7.84    438.80      1.00
       alpha[4,3]     -3.91      0.62     -3.85     -5.04     -3.05    875.65      1.00
       alpha[4,4]      0.97      0.54      0.94      0.16      1.91   1265.11      1.00
       alpha[5,0]      0.24      0.43      0.21     -0.49      0.90    214.01      1.00
       alpha[5,1]     12.07      2.67     11.78      7.62     16.10   1066.10      1.00
       alpha[5,2]      5.86      0.90      5.85      4.31      7.19    500.68      1.00
       alpha[5,3]     -4.02      0.67     -4.01     -5.09     -2.85    752.42      1.00
       alpha[5,4]      0.25      0.56      0.27     -0.61      1.21   1284.24      1.00
       alpha[6,0]     -0.36      0.27     -0.36     -0.77      0.12   1075.51      1.00
       alpha[6,1]      9.99      2.20      9.84      6.62     13.71    366.80      1.00
       alpha[6,2]      6.14      0.97      6.06      4.53      7.64    562.21      1.00
       alpha[6,3]     -3.42      0.71     -3.40     -4.65     -2.31    461.98      1.00
       alpha[6,4]      0.95      0.78      0.96     -0.27      2.30    432.83      1.00
       alpha[7,0]     -0.63      0.36     -0.65     -1.22     -0.06    420.20      1.00
       alpha[7,1]      8.35      2.34      8.22      4.61     12.21    549.06      1.00
       alpha[7,2]      4.95      0.90      4.93      3.35      6.37    923.32      1.00
       alpha[7,3]     -1.98      0.63     -1.98     -2.90     -0.86    531.15      1.00
       alpha[7,4]      2.27      0.78      2.28      1.04      3.57    710.43      1.00
       alpha[8,0]      0.23      0.37      0.21     -0.39      0.81    229.36      1.00
       alpha[8,1]      8.06      2.14      7.82      4.86     11.63   1362.21      1.00
       alpha[8,2]      6.41      0.95      6.43      4.90      7.86    985.04      1.00
       alpha[8,3]     -4.88      0.59     -4.89     -5.87     -3.91    945.89      1.00
       alpha[8,4]     -1.03      0.38     -1.00     -1.68     -0.48   1379.90      1.00
       alpha[9,0]     -0.57      0.30     -0.55     -1.07     -0.11    523.69      1.00
       alpha[9,1]      1.63      0.54      1.58      0.85      2.57   1217.67      1.00
       alpha[9,2]      5.67      0.92      5.70      4.17      7.16    618.05      1.00
       alpha[9,3]     -3.84      0.53     -3.81     -4.66     -2.93    836.89      1.00
       alpha[9,4]      0.12      0.28      0.13     -0.38      0.53   2669.49      1.00
      alpha[10,0]     -0.09      0.33     -0.12     -0.59      0.45    146.40      1.00
      alpha[10,1]     -2.95      1.65     -2.82     -5.28      0.08    888.43      1.00
      alpha[10,2]      7.13      1.08      7.13      5.44      8.96    492.02      1.00
      alpha[10,3]     -4.80      0.66     -4.78     -5.86     -3.74    480.99      1.00
      alpha[10,4]     -1.30      0.55     -1.29     -2.15     -0.39    381.86      1.00
      alpha[11,0]      0.04      0.35      0.00     -0.50      0.62    192.96      1.00
      alpha[11,1]      6.15      1.64      6.08      3.18      8.56    916.12      1.00
      alpha[11,2]      6.54      0.94      6.51      4.97      8.01    665.60      1.00
      alpha[11,3]     -4.32      0.59     -4.32     -5.41     -3.45    921.35      1.00
      alpha[11,4]     -0.26      0.48     -0.28     -0.94      0.62   1393.85      1.00
      alpha[12,0]     -0.64      0.33     -0.65     -1.16     -0.11    468.47      1.00
      alpha[12,1]     -0.36      0.79     -0.36     -1.71      0.85    870.95      1.00
      alpha[12,2]      6.47      0.97      6.45      4.96      8.10    677.13      1.00
      alpha[12,3]     -3.37      0.57     -3.37     -4.20     -2.36    851.70      1.00
      alpha[12,4]      0.51      0.48      0.51     -0.23      1.33    961.89      1.00
      alpha[13,0]     -1.05      0.36     -1.05     -1.68     -0.50    729.14      1.00
      alpha[13,1]     11.69      2.70     11.55      6.93     15.83   1308.01      1.00
      alpha[13,2]      4.63      0.99      4.60      3.03      6.18    546.43      1.00
      alpha[13,3]     -1.10      0.59     -1.07     -2.06     -0.18    690.82      1.00
      alpha[13,4]      3.98      0.69      3.93      2.81      4.96    798.08      1.00
      alpha[14,0]     -0.06      0.36     -0.09     -0.63      0.53    248.57      1.00
      alpha[14,1]      2.05      1.50      1.92     -0.66      4.24    640.65      1.00
      alpha[14,2]      7.42      1.07      7.37      5.67      9.08    536.09      1.00
      alpha[14,3]     -4.87      0.70     -4.83     -6.07     -3.79    552.62      1.00
      alpha[14,4]     -1.09      0.60     -1.07     -2.02     -0.09    671.28      1.00
      alpha[15,0]     -0.81      0.35     -0.79     -1.36     -0.23    872.40      1.00
      alpha[15,1]      8.40      2.82      8.32      3.72     12.93   1228.90      1.00
      alpha[15,2]      4.85      0.83      4.84      3.51      6.21    699.00      1.00
      alpha[15,3]     -2.01      0.69     -2.02     -3.06     -0.81    975.90      1.00
      alpha[15,4]      2.41      0.66      2.41      1.33      3.44   1108.19      1.00
      alpha[16,0]     -1.32      0.41     -1.31     -2.00     -0.65    401.69      1.00
      alpha[16,1]      8.16      2.38      7.91      4.48     11.96    907.12      1.00
      alpha[16,2]      2.31      0.63      2.28      1.26      3.30    631.01      1.00
      alpha[16,3]     -0.65      0.57     -0.63     -1.55      0.33    923.53      1.00
      alpha[16,4]      4.25      0.76      4.23      2.96      5.48    718.98      1.00
      alpha[17,0]     -0.76      0.30     -0.77     -1.27     -0.29    486.60      1.00
      alpha[17,1]      6.12      1.80      6.03      3.20      8.93    857.69      1.00
      alpha[17,2]      4.77      0.92      4.76      3.36      6.37    848.70      1.00
      alpha[17,3]     -1.81      0.64     -1.83     -2.82     -0.74    758.14      1.00
      alpha[17,4]      2.48      0.76      2.46      1.21      3.68    639.39      1.00
      alpha[18,0]     -0.93      0.33     -0.91     -1.45     -0.39    810.36      1.00
      alpha[18,1]      3.16      1.30      3.03      1.11      5.25   1153.17      1.00
      alpha[18,2]      5.30      0.91      5.27      3.83      6.80   1135.40      1.00
      alpha[18,3]     -2.65      0.55     -2.65     -3.66     -1.86    938.50      1.01
      alpha[18,4]      1.55      0.62      1.54      0.57      2.55   1016.13      1.00
      alpha[19,0]     -1.21      0.28     -1.20     -1.65     -0.76    582.24      1.00
      alpha[19,1]      4.56      1.16      4.48      2.64      6.37   2105.89      1.00
      alpha[19,2]      4.83      0.90      4.78      3.39      6.29    666.82      1.00
      alpha[19,3]     -1.90      0.46     -1.89     -2.69     -1.16   1489.15      1.00
      alpha[19,4]      2.39      0.61      2.40      1.37      3.33   1054.73      1.00
      alpha[20,0]     -0.67      0.35     -0.67     -1.19     -0.11    632.89      1.00
      alpha[20,1]      7.83      2.21      7.59      4.49     11.55   1149.91      1.00
      alpha[20,2]      4.67      0.87      4.70      3.18      6.00    966.67      1.00
      alpha[20,3]     -2.51      0.51     -2.52     -3.35     -1.73   1212.80      1.00
      alpha[20,4]      2.10      0.60      2.05      1.13      3.09   1254.07      1.00
      alpha[21,0]     -0.34      0.35     -0.35     -0.85      0.28    811.45      1.00
      alpha[21,1]      8.11      2.33      8.08      4.68     12.34    655.91      1.00
      alpha[21,2]      5.47      0.96      5.48      3.95      7.07    963.19      1.00
      alpha[21,3]     -3.47      0.67     -3.44     -4.54     -2.38    676.05      1.00
      alpha[21,4]      0.77      0.67      0.73     -0.35      1.81    776.05      1.00
      alpha[22,0]     -0.42      0.34     -0.39     -1.02      0.09    623.32      1.00
      alpha[22,1]      9.20      2.34      9.07      5.35     13.02   1011.11      1.00
      alpha[22,2]      5.30      0.95      5.26      3.84      6.90    748.34      1.00
      alpha[22,3]     -3.81      0.61     -3.81     -4.86     -2.87    643.05      1.00
      alpha[22,4]      0.41      0.54      0.40     -0.47      1.29   1215.05      1.00
      alpha[23,0]     -0.72      0.35     -0.72     -1.34     -0.17    715.20      1.00
      alpha[23,1]     -3.96      1.69     -3.93     -6.57     -1.33   1117.69      1.00
      alpha[23,2]      6.57      0.96      6.53      5.16      8.40   1100.44      1.00
      alpha[23,3]     -4.27      0.57     -4.25     -5.27     -3.41    487.90      1.00
      alpha[23,4]     -0.75      0.54     -0.75     -1.67      0.11    811.81      1.00
      alpha[24,0]     -0.63      0.37     -0.67     -1.24     -0.07    248.57      1.00
      alpha[24,1]      1.22      0.67      1.19      0.13      2.27    910.71      1.00
      alpha[24,2]      6.26      0.99      6.19      4.71      7.88    400.19      1.00
      alpha[24,3]     -3.01      0.58     -3.02     -3.85     -1.97    886.00      1.00
      alpha[24,4]      1.25      0.54      1.23      0.39      2.11    754.21      1.00
      alpha[25,0]     -0.60      0.38     -0.61     -1.19      0.04    354.18      1.01
      alpha[25,1]     11.91      3.08     11.68      6.12     16.41    978.05      1.00
      alpha[25,2]      4.67      0.92      4.60      3.25      5.96    410.92      1.00
      alpha[25,3]     -2.33      0.52     -2.31     -3.18     -1.53    935.75      1.00
      alpha[25,4]      2.74      0.59      2.72      1.75      3.67    672.81      1.00
      alpha[26,0]     -0.08      0.39     -0.10     -0.74      0.53    317.59      1.01
      alpha[26,1]     -6.44      1.84     -6.36     -9.67     -3.54    825.51      1.00
      alpha[26,2]      8.34      1.04      8.32      6.69     10.01    788.68      1.00
      alpha[26,3]     -5.76      0.76     -5.72     -7.13     -4.63    712.14      1.00
      alpha[26,4]     -3.07      0.71     -3.01     -4.28     -1.96    974.26      1.01
      alpha[27,0]     -0.47      0.29     -0.46     -0.93      0.02    362.68      1.00
      alpha[27,1]     12.64      3.17     12.51      7.73     17.88   1268.24      1.00
      alpha[27,2]      4.28      0.84      4.27      2.91      5.63    701.75      1.00
      alpha[27,3]     -2.15      0.56     -2.14     -3.08     -1.22   1275.46      1.00
      alpha[27,4]      2.77      0.60      2.71      1.74      3.66   1244.20      1.00
      alpha[28,0]     -0.57      0.37     -0.58     -1.18      0.00    712.76      1.00
      alpha[28,1]     -7.10      1.93     -7.08    -10.29     -4.15    724.44      1.00
      alpha[28,2]      7.85      1.08      7.82      5.97      9.54    933.92      1.00
      alpha[28,3]     -4.62      0.75     -4.60     -5.84     -3.38    756.25      1.00
      alpha[28,4]     -1.43      0.71     -1.41     -2.55     -0.27    904.30      1.00
      alpha[29,0]     -0.53      0.34     -0.53     -1.10      0.04    514.74      1.00
      alpha[29,1]     -2.06      1.24     -2.01     -3.97     -0.01    456.13      1.00
      alpha[29,2]      7.03      0.99      7.00      5.41      8.62    910.63      1.00
      alpha[29,3]     -4.52      0.64     -4.48     -5.50     -3.48    619.83      1.00
      alpha[29,4]     -1.23      0.54     -1.20     -2.04     -0.34    899.81      1.00
      alpha[30,0]     -0.12      0.38     -0.15     -0.71      0.54    521.49      1.00
      alpha[30,1]     -0.16      2.37     -0.22     -4.35      3.33    573.83      1.00
      alpha[30,2]      6.77      1.01      6.78      5.08      8.37    789.20      1.00
      alpha[30,3]     -5.09      0.75     -5.04     -6.30     -3.83    648.99      1.00
      alpha[30,4]     -1.61      0.74     -1.60     -2.81     -0.38    506.35      1.00
      alpha[31,0]     -0.44      0.33     -0.42     -0.92      0.15    548.88      1.00
      alpha[31,1]      0.98      0.82      1.01     -0.29      2.34    593.97      1.00
      alpha[31,2]      6.48      0.92      6.45      4.98      7.96   1200.40      1.00
      alpha[31,3]     -4.11      0.55     -4.10     -4.92     -3.14    653.83      1.00
      alpha[31,4]     -0.63      0.42     -0.63     -1.30      0.06   1172.60      1.00
      alpha[32,0]     -0.87      0.28     -0.87     -1.29     -0.38    762.44      1.00
      alpha[32,1]      5.43      1.37      5.28      3.34      7.63   1447.74      1.00
      alpha[32,2]      4.97      0.93      4.90      3.37      6.46    264.68      1.00
      alpha[32,3]     -1.92      0.45     -1.92     -2.66     -1.21   1070.61      1.00
      alpha[32,4]      2.33      0.59      2.31      1.36      3.26    689.02      1.00
      alpha[33,0]     -0.40      0.38     -0.39     -1.01      0.19    542.99      1.01
      alpha[33,1]     -4.97      1.51     -4.86     -7.68     -2.79    860.99      1.00
      alpha[33,2]      7.71      1.05      7.67      6.01      9.46    535.70      1.00
      alpha[33,3]     -5.44      0.74     -5.39     -6.70     -4.28    552.76      1.00
      alpha[33,4]     -2.06      0.71     -2.02     -3.13     -0.78    607.29      1.00
      alpha[34,0]     -0.63      0.33     -0.64     -1.12     -0.05    706.37      1.00
      alpha[34,1]      5.95      1.60      5.82      3.50      8.59   1816.79      1.00
      alpha[34,2]      5.63      0.91      5.60      4.20      7.16    532.02      1.00
      alpha[34,3]     -2.75      0.50     -2.74     -3.52     -1.86   1303.58      1.00
      alpha[34,4]      1.69      0.50      1.69      0.90      2.53   1379.57      1.00
      alpha[35,0]     -0.12      0.24     -0.12     -0.46      0.33    904.23      1.00
      alpha[35,1]      8.29      2.02      8.19      5.18     11.67    820.01      1.00
      alpha[35,2]      6.08      0.97      6.06      4.52      7.65    855.66      1.00
      alpha[35,3]     -4.36      0.61     -4.35     -5.34     -3.37    293.50      1.00
      alpha[35,4]     -0.13      0.60     -0.16     -1.14      0.80    581.97      1.00
      alpha[36,0]     -0.07      0.35     -0.08     -0.67      0.43    585.16      1.00
      alpha[36,1]      5.95      1.64      5.85      3.12      8.31   1395.13      1.00
      alpha[36,2]      6.37      0.97      6.36      4.77      7.95    961.12      1.00
      alpha[36,3]     -4.57      0.62     -4.56     -5.56     -3.53    965.95      1.00
      alpha[36,4]     -0.72      0.52     -0.71     -1.57      0.12    927.46      1.00
      alpha[37,0]     -0.86      0.25     -0.85     -1.25     -0.42    808.78      1.00
      alpha[37,1]     11.14      2.69     11.00      6.84     15.49    892.20      1.00
      alpha[37,2]      3.75      1.03      3.73      2.20      5.44    372.04      1.01
      alpha[37,3]     -2.02      0.61     -2.03     -2.92     -0.97    513.93      1.00
      alpha[37,4]      2.25      0.68      2.23      1.25      3.39    527.25      1.01
      alpha[38,0]     -0.74      0.36     -0.73     -1.29     -0.13    756.26      1.00
      alpha[38,1]     -4.05      1.33     -3.88     -6.33     -2.10    658.36      1.00
      alpha[38,2]      7.40      1.01      7.34      5.90      9.22    695.05      1.00
      alpha[38,3]     -3.67      0.59     -3.67     -4.75     -2.78    710.17      1.00
      alpha[38,4]     -0.49      0.48     -0.48     -1.20      0.32   1107.41      1.00
      alpha[39,0]      0.15      0.38      0.11     -0.47      0.80    257.17      1.00
      alpha[39,1]      5.84      1.91      5.78      2.90      8.91    813.65      1.00
      alpha[39,2]      7.06      1.00      7.00      5.23      8.43    639.98      1.01
      alpha[39,3]     -4.93      0.67     -4.90     -5.99     -3.86    587.41      1.00
      alpha[39,4]     -1.03      0.59     -1.05     -2.06     -0.08    980.64      1.00
      alpha[40,0]     -0.24      0.34     -0.26     -0.84      0.29    243.88      1.00
      alpha[40,1]     10.97      2.55     10.87      6.50     14.75    823.53      1.00
      alpha[40,2]      4.66      0.87      4.65      3.27      6.13   1003.10      1.00
      alpha[40,3]     -3.39      0.56     -3.38     -4.29     -2.46    656.65      1.00
      alpha[40,4]      1.44      0.51      1.41      0.63      2.24    845.10      1.00
      alpha[41,0]     -0.19      0.34     -0.21     -0.73      0.38    285.15      1.00
      alpha[41,1]      4.03      1.68      4.03      1.14      6.70    754.24      1.00
      alpha[41,2]      5.92      0.92      5.90      4.24      7.26    795.12      1.00
      alpha[41,3]     -3.97      0.60     -3.96     -4.93     -2.96    845.65      1.00
      alpha[41,4]      0.08      0.54      0.07     -0.76      1.00   1388.75      1.00
      alpha[42,0]     -0.57      0.39     -0.57     -1.15      0.07    458.30      1.00
      alpha[42,1]      8.54      1.97      8.47      5.42     11.80    804.47      1.00
      alpha[42,2]      5.29      0.94      5.22      3.88      6.92    937.68      1.00
      alpha[42,3]     -2.15      0.57     -2.18     -3.11     -1.22    353.07      1.00
      alpha[42,4]      1.87      0.60      1.85      0.77      2.71    727.41      1.00
      alpha[43,0]      0.45      0.44      0.42     -0.28      1.12    180.76      1.00
      alpha[43,1]     10.22      2.37     10.11      6.18     13.90    598.09      1.00
      alpha[43,2]      6.26      0.96      6.22      4.75      7.83    718.91      1.00
      alpha[43,3]     -5.15      0.66     -5.13     -6.22     -4.08    536.71      1.00
      alpha[43,4]     -1.38      0.53     -1.37     -2.23     -0.50    890.82      1.00
      alpha[44,0]     -0.33      0.36     -0.36     -0.93      0.23    618.17      1.00
      alpha[44,1]     13.89      2.68     13.80      9.68     18.56    694.70      1.00
      alpha[44,2]      3.94      0.83      3.91      2.47      5.13    773.72      1.00
      alpha[44,3]     -2.96      0.68     -2.96     -4.07     -1.83    620.17      1.00
      alpha[44,4]      1.84      0.74      1.82      0.74      3.16    746.02      1.00
      alpha[45,0]      0.15      0.30      0.14     -0.33      0.65    730.62      1.00
      alpha[45,1]      3.64      1.14      3.55      1.77      5.40    663.01      1.00
      alpha[45,2]      6.52      0.98      6.47      4.98      8.09    607.64      1.00
      alpha[45,3]     -5.60      0.72     -5.55     -6.91     -4.57    527.25      1.00
      alpha[45,4]     -2.14      0.67     -2.11     -3.30     -1.11    508.22      1.00
      alpha[46,0]     -0.65      0.34     -0.66     -1.18     -0.07    733.96      1.00
      alpha[46,1]     -1.89      1.01     -1.89     -3.55     -0.30    956.78      1.00
      alpha[46,2]      6.86      1.03      6.84      5.09      8.39    701.55      1.01
      alpha[46,3]     -3.66      0.60     -3.64     -4.66     -2.73    943.64      1.00
      alpha[46,4]     -0.10      0.53     -0.10     -1.03      0.74    908.44      1.00
      alpha[47,0]     -0.52      0.38     -0.54     -1.10      0.08    584.46      1.00
      alpha[47,1]     12.42      3.15     12.27      7.28     17.68   1359.18      1.00
      alpha[47,2]      4.25      0.77      4.23      3.04      5.49   1150.53      1.00
      alpha[47,3]     -2.34      0.53     -2.32     -3.17     -1.43   1290.26      1.00
      alpha[47,4]      2.57      0.67      2.57      1.46      3.58   1395.91      1.00
      alpha[48,0]     -0.21      0.34     -0.21     -0.73      0.33    484.76      1.00
      alpha[48,1]      3.82      1.30      3.69      1.62      5.64   1226.83      1.00
      alpha[48,2]      6.24      0.91      6.23      4.76      7.72    753.98      1.00
      alpha[48,3]     -4.68      0.57     -4.65     -5.66     -3.78    557.32      1.00
      alpha[48,4]     -0.76      0.34     -0.75     -1.33     -0.22   1894.42      1.00
      alpha[49,0]     -0.37      0.36     -0.36     -0.90      0.26    716.57      1.00
      alpha[49,1]      4.92      2.19      4.78      1.59      8.51    762.76      1.00
      alpha[49,2]      6.04      0.90      6.02      4.59      7.52   1094.63      1.00
      alpha[49,3]     -4.10      0.61     -4.07     -5.12     -3.17    769.57      1.00
      alpha[49,4]     -0.18      0.46     -0.18     -0.97      0.56   1285.68      1.00
      alpha[50,0]     -0.58      0.33     -0.57     -1.14     -0.07    613.31      1.00
      alpha[50,1]      4.85      1.35      4.75      2.52      6.86   1116.14      1.00
      alpha[50,2]      5.69      0.87      5.67      4.11      7.00    758.18      1.00
      alpha[50,3]     -3.58      0.52     -3.55     -4.40     -2.72    940.54      1.00
      alpha[50,4]      0.66      0.34      0.65      0.04      1.15   1705.06      1.00
      alpha[51,0]     -0.10      0.35     -0.10     -0.74      0.40    298.74      1.00
      alpha[51,1]      9.30      2.61      9.13      4.98     13.28    791.96      1.00
      alpha[51,2]      4.70      0.90      4.70      3.35      6.28    621.35      1.00
      alpha[51,3]     -3.64      0.61     -3.59     -4.60     -2.65    993.82      1.00
      alpha[51,4]      0.63      0.65      0.62     -0.42      1.69    947.85      1.00
      alpha[52,0]     -0.29      0.38     -0.30     -0.87      0.36    603.46      1.00
      alpha[52,1]     13.43      2.95     13.30      8.43     17.82    698.09      1.00
      alpha[52,2]      5.60      0.95      5.55      4.07      7.02    581.23      1.00
      alpha[52,3]     -3.11      0.59     -3.09     -4.07     -2.17    802.01      1.00
      alpha[52,4]      1.61      0.53      1.59      0.85      2.56    917.46      1.00
      alpha[53,0]     -0.68      0.35     -0.70     -1.24     -0.11    775.87      1.00
      alpha[53,1]     -1.92      1.39     -1.94     -4.09      0.29    679.86      1.00
      alpha[53,2]      6.18      0.92      6.14      4.61      7.62    783.68      1.00
      alpha[53,3]     -3.47      0.67     -3.46     -4.53     -2.35    954.13      1.00
      alpha[53,4]      0.06      0.55      0.05     -0.80      0.97    799.72      1.00
      alpha[54,0]      0.01      0.41     -0.02     -0.63      0.70    433.95      1.00
      alpha[54,1]     -3.21      1.28     -3.16     -5.16     -1.10   1065.24      1.00
      alpha[54,2]      7.81      1.04      7.80      6.01      9.45    811.06      1.00
      alpha[54,3]     -5.99      0.74     -5.94     -7.12     -4.81    657.21      1.00
      alpha[54,4]     -2.95      0.70     -2.89     -4.05     -1.79   1087.96      1.00
      alpha[55,0]      0.15      0.22      0.15     -0.22      0.50    939.03      1.00
      alpha[55,1]      8.38      2.52      8.21      4.29     12.24    812.87      1.00
      alpha[55,2]      6.63      1.05      6.58      4.79      8.24    385.92      1.00
      alpha[55,3]     -5.69      0.71     -5.66     -6.79     -4.46    487.67      1.00
      alpha[55,4]     -1.90      0.62     -1.88     -2.92     -0.91   1103.25      1.00
      alpha[56,0]     -0.74      0.26     -0.72     -1.16     -0.32   1266.45      1.00
      alpha[56,1]     -3.94      1.22     -3.91     -5.99     -1.95    815.01      1.00
      alpha[56,2]      6.43      0.93      6.40      4.96      8.03    925.88      1.00
      alpha[56,3]     -3.93      0.66     -3.89     -5.06     -2.99    787.98      1.00
      alpha[56,4]     -0.46      0.59     -0.46     -1.42      0.49    636.03      1.00
      alpha[57,0]     -1.09      0.36     -1.09     -1.73     -0.56    566.88      1.00
      alpha[57,1]     -2.19      1.07     -2.15     -3.84     -0.49    535.22      1.00
      alpha[57,2]      6.19      0.91      6.12      4.74      7.67    588.89      1.00
      alpha[57,3]     -2.26      0.53     -2.27     -3.16     -1.45    556.62      1.00
      alpha[57,4]      1.39      0.52      1.37      0.46      2.18    737.80      1.00
      alpha[58,0]     -0.39      0.34     -0.38     -0.89      0.18    505.76      1.00
      alpha[58,1]      6.16      1.63      6.00      3.71      8.95   1596.49      1.00
      alpha[58,2]      5.30      0.96      5.31      3.52      6.68    661.53      1.00
      alpha[58,3]     -4.19      0.62     -4.18     -5.18     -3.20    441.77      1.00
      alpha[58,4]      0.20      0.54      0.22     -0.83      0.96    830.67      1.00
      alpha[59,0]     -0.22      0.36     -0.22     -0.76      0.39    469.54      1.00
      alpha[59,1]      0.98      0.98      0.99     -0.64      2.54    745.56      1.00
      alpha[59,2]      7.35      0.99      7.30      5.84      9.03    755.89      1.00
      alpha[59,3]     -5.09      0.65     -5.08     -6.17     -4.03    604.76      1.00
      alpha[59,4]     -1.45      0.59     -1.42     -2.42     -0.59    901.98      1.00
      alpha[60,0]     -0.68      0.28     -0.67     -1.18     -0.25   1115.25      1.00
      alpha[60,1]     -0.69      1.74     -0.79     -3.43      2.30    849.84      1.00
      alpha[60,2]      6.14      0.94      6.06      4.56      7.61   1020.28      1.00
      alpha[60,3]     -3.59      0.71     -3.57     -4.62     -2.33    615.30      1.00
      alpha[60,4]     -0.07      0.72     -0.07     -1.19      1.08    771.10      1.00
      alpha[61,0]     -0.98      0.39     -0.96     -1.62     -0.43    491.64      1.00
      alpha[61,1]     -1.87      1.97     -1.93     -5.46      0.96    750.66      1.00
      alpha[61,2]      6.38      1.02      6.34      4.82      8.09    800.85      1.00
      alpha[61,3]     -3.09      0.75     -3.10     -4.21     -1.83    868.32      1.00
      alpha[61,4]      0.57      0.74      0.57     -0.63      1.75    823.54      1.00
      alpha[62,0]     -0.85      0.32     -0.85     -1.36     -0.35    622.57      1.00
      alpha[62,1]      7.80      2.44      7.82      3.63     11.36    739.72      1.00
      alpha[62,2]      3.84      0.97      3.86      2.13      5.29    785.80      1.00
      alpha[62,3]     -1.76      0.63     -1.78     -2.76     -0.74    482.87      1.00
      alpha[62,4]      2.57      0.73      2.49      1.45      3.79    481.41      1.00
      alpha[63,0]      0.19      0.38      0.16     -0.46      0.77    455.20      1.00
      alpha[63,1]      2.64      1.05      2.54      0.97      4.34    703.31      1.00
      alpha[63,2]      7.52      1.09      7.51      5.57      9.14    738.52      1.00
      alpha[63,3]     -5.87      0.73     -5.85     -7.02     -4.66    790.82      1.00
      alpha[63,4]     -2.30      0.69     -2.28     -3.53     -1.26   1174.49      1.00
      alpha[64,0]     -0.43      0.31     -0.43     -0.89      0.12    737.44      1.00
      alpha[64,1]      7.10      2.33      7.00      2.98     10.72    768.25      1.00
      alpha[64,2]      5.62      0.90      5.57      4.07      7.02    794.00      1.00
      alpha[64,3]     -3.36      0.68     -3.36     -4.53     -2.34    680.90      1.00
      alpha[64,4]      0.82      0.70      0.78     -0.30      1.94    740.47      1.00
      alpha[65,0]      0.05      0.31      0.04     -0.50      0.52    363.57      1.00
      alpha[65,1]      2.83      1.29      2.79      0.71      4.86   1186.57      1.00
      alpha[65,2]      7.27      0.99      7.25      5.66      8.94    777.23      1.00
      alpha[65,3]     -5.69      0.66     -5.66     -6.73     -4.66    602.79      1.00
      alpha[65,4]     -1.97      0.57     -1.95     -2.88     -1.02   1068.36      1.00
      alpha[66,0]     -0.80      0.33     -0.79     -1.36     -0.27    692.00      1.00
      alpha[66,1]     -2.12      1.26     -2.04     -4.03     -0.03   1129.03      1.00
      alpha[66,2]      6.98      1.01      6.93      5.45      8.68    510.93      1.00
      alpha[66,3]     -3.70      0.64     -3.69     -4.72     -2.68    835.40      1.00
      alpha[66,4]      0.14      0.62      0.13     -0.89      1.08    788.30      1.00
      alpha[67,0]     -0.08      0.41     -0.11     -0.75      0.57    189.67      1.00
      alpha[67,1]      3.49      2.68      3.49     -0.94      8.02    772.30      1.00
      alpha[67,2]      6.68      1.05      6.64      5.02      8.37    705.99      1.00
      alpha[67,3]     -4.50      0.76     -4.43     -5.71     -3.29    516.07      1.00
      alpha[67,4]     -0.34      0.73     -0.33     -1.54      0.90    783.91      1.00
      alpha[68,0]     -0.39      0.35     -0.40     -0.93      0.17    329.86      1.00
      alpha[68,1]      7.51      1.78      7.37      4.64     10.63    672.43      1.00
      alpha[68,2]      6.13      1.04      6.06      4.61      8.07    383.48      1.00
      alpha[68,3]     -2.90      0.55     -2.91     -3.79     -1.99    869.73      1.00
      alpha[68,4]      1.85      0.57      1.82      0.99      2.78    855.21      1.00
      alpha[69,0]      0.31      0.34      0.30     -0.30      0.80    406.05      1.00
      alpha[69,1]      7.77      1.98      7.60      4.38     10.56   1683.07      1.00
      alpha[69,2]      6.89      1.02      6.89      5.31      8.55    677.46      1.00
      alpha[69,3]     -5.80      0.70     -5.76     -6.97     -4.73    672.48      1.00
      alpha[69,4]     -1.80      0.58     -1.79     -2.68     -0.77   1241.36      1.00
      alpha[70,0]     -0.76      0.35     -0.73     -1.31     -0.18    707.19      1.00
