
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
    W_tilde[35,0]      6.21      1.86      6.08      3.36      9.26    729.43      1.00
    W_tilde[35,1]     -5.35      5.37     -4.39    -12.74      3.49    661.28      1.00
    W_tilde[35,2]     -5.06      1.99     -5.02     -8.13     -1.78    628.54      1.00
    W_tilde[35,3]     -1.91      2.70     -1.75     -6.02      2.47    771.70      1.00
    W_tilde[35,4]     -4.64      2.35     -4.30     -8.29     -0.87   1086.42      1.00
    W_tilde[36,0]     -3.71      1.78     -3.56     -6.44     -0.89   1041.14      1.00
    W_tilde[36,1]     -9.75      6.14     -9.37    -18.59      0.35    976.42      1.00
    W_tilde[36,2]      2.65      1.17      2.67      0.95      4.60    950.18      1.00
    W_tilde[36,3]     -2.65      2.69     -2.37     -6.87      1.49   1049.85      1.00
    W_tilde[36,4]     -2.83      1.91     -2.40     -5.72     -0.24    932.88      1.00
    W_tilde[37,0]      2.24      0.86      2.26      0.83      3.60    854.15      1.00
    W_tilde[37,1]     -8.38      5.85     -7.95    -16.34      0.88    702.19      1.00
    W_tilde[37,2]     -2.01      1.46     -1.98     -4.13      0.61    525.18      1.00
    W_tilde[37,3]     -3.01      2.57     -2.69     -6.65      0.96    914.46      1.00
    W_tilde[37,4]     -3.71      2.06     -3.34     -6.86     -0.57    714.06      1.00
    W_tilde[38,0]      1.29      0.87      1.28      0.01      2.78    947.52      1.00
    W_tilde[38,1]     -8.48      6.22     -7.65    -17.67      0.52    728.76      1.00
    W_tilde[38,2]     -0.94      1.45     -0.89     -3.16      1.46    405.53      1.00
    W_tilde[38,3]     -2.35      2.87     -1.81     -6.39      1.91    781.34      1.00
    W_tilde[38,4]     -4.52      1.92     -4.23     -7.33     -1.67   1030.25      1.00
    W_tilde[39,0]     -4.93      2.01     -4.91     -8.11     -1.62    345.01      1.00
    W_tilde[39,1]     -2.67      4.86     -0.86     -8.35      1.83    272.00      1.00
    W_tilde[39,2]      4.52      1.04      4.42      2.76      6.16    385.05      1.01
    W_tilde[39,3]      1.64      2.19      2.15     -0.87      4.26    342.98      1.00
    W_tilde[39,4]     -3.19      1.40     -2.93     -5.11     -0.85    727.38      1.00
    W_tilde[40,0]      2.84      1.00      2.77      1.16      4.33    790.72      1.00
    W_tilde[40,1]      5.60      1.95      5.48      2.47      8.85    843.36      1.00
    W_tilde[40,2]     -2.05      1.43     -2.01     -4.35      0.24    908.15      1.00
    W_tilde[40,3]      3.25      0.91      3.16      1.91      4.88    781.91      1.00
    W_tilde[40,4]     -2.36      1.47     -2.18     -4.69     -0.03   1786.09      1.00
    W_tilde[41,0]     -8.98      3.01     -8.85    -14.63     -4.74    563.49      1.00
    W_tilde[41,1]     16.71      3.29     16.38     11.60     22.15    406.75      1.00
    W_tilde[41,2]      8.64      2.20      8.49      5.26     12.34    480.48      1.00
    W_tilde[41,3]      7.66      1.38      7.57      5.58      9.93    313.68      1.01
    W_tilde[41,4]      6.70      1.77      6.52      3.87      9.52    473.48      1.00
    W_tilde[42,0]      2.82      0.99      2.78      1.26      4.42    816.09      1.00
    W_tilde[42,1]      5.36      2.00      5.25      2.18      8.45    594.26      1.00
    W_tilde[42,2]     -1.86      1.41     -1.77     -3.97      0.51    747.03      1.00
    W_tilde[42,3]      3.08      1.13      3.04      0.99      4.65    772.47      1.00
    W_tilde[42,4]     -2.03      1.60     -1.85     -4.27      0.48   1311.69      1.00
    W_tilde[43,0]     -3.99      1.44     -3.81     -6.59     -1.94    483.76      1.01
    W_tilde[43,1]      0.04      4.03      1.08     -5.47      5.71    364.37      1.00
    W_tilde[43,2]      3.08      0.82      3.05      1.59      4.24    415.60      1.02
    W_tilde[43,3]      0.53      1.94      0.96     -2.06      3.22    389.71      1.00
    W_tilde[43,4]      1.04      1.23      1.16     -0.65      3.20    910.90      1.00
    W_tilde[44,0]      2.89      1.00      2.85      1.05      4.34    485.02      1.01
    W_tilde[44,1]      8.85      2.11      8.68      5.16     11.87    235.00      1.01
    W_tilde[44,2]     -2.26      1.31     -2.16     -4.33     -0.16    792.29      1.00
    W_tilde[44,3]      4.47      1.03      4.39      2.88      6.31    316.72      1.01
    W_tilde[44,4]     -1.71      1.46     -1.49     -4.13      0.50    845.85      1.00
    W_tilde[45,0]      3.27      0.99      3.18      1.55      4.88    457.41      1.00
    W_tilde[45,1]     -6.63      5.42     -5.89    -14.42      1.50    618.99      1.00
    W_tilde[45,2]     -2.91      1.38     -2.92     -5.09     -0.70    583.25      1.00
    W_tilde[45,3]     -2.90      2.41     -2.49     -6.81      0.47    764.55      1.00
    W_tilde[45,4]     -2.58      2.36     -2.17     -6.43      0.81    845.79      1.00
    W_tilde[46,0]     -5.21      1.70     -5.16     -7.69     -2.08    619.49      1.01
    W_tilde[46,1]     -1.21      3.43     -0.40     -6.07      3.28    580.34      1.00
    W_tilde[46,2]      4.24      0.85      4.19      2.78      5.49    368.02      1.01
    W_tilde[46,3]      0.65      1.86      0.98     -2.03      3.41    632.51      1.00
    W_tilde[46,4]      0.69      0.95      0.77     -0.71      2.17    884.34      1.00
    W_tilde[47,0]     -1.29      1.17     -1.19     -3.08      0.63    795.72      1.01
    W_tilde[47,1]     -1.87      5.12     -0.34     -9.41      4.56    473.10      1.00
    W_tilde[47,2]     -0.10      1.06      0.05     -1.88      1.50    609.06      1.00
    W_tilde[47,3]     -1.75      2.42     -1.08     -5.62      1.29    501.74      1.00
    W_tilde[47,4]      1.63      1.31      1.64     -0.08      3.88    801.38      1.01
    W_tilde[48,0]     -0.37      1.77     -0.23     -3.40      2.34    910.83      1.00
    W_tilde[48,1]    -10.13      6.66     -9.58    -19.65      1.15    606.12      1.01
    W_tilde[48,2]     -0.71      1.48     -0.70     -3.23      1.57   1079.73      1.00
    W_tilde[48,3]     -3.81      2.73     -3.47     -7.70      0.67    711.89      1.01
    W_tilde[48,4]     -3.00      2.38     -2.53     -6.60      0.65    766.48      1.01
    W_tilde[49,0]     -3.88      1.84     -3.86     -6.81     -1.14    548.79      1.01
    W_tilde[49,1]      3.91      1.33      3.87      1.52      5.78    758.13      1.00
    W_tilde[49,2]      3.50      1.18      3.44      1.53      5.26    538.58      1.00
    W_tilde[49,3]      2.58      0.72      2.59      1.39      3.73    347.68      1.00
    W_tilde[49,4]      0.98      1.03      1.07     -0.62      2.66    937.59      1.00
    W_tilde[50,0]      9.84      2.77      9.62      5.84     14.59    583.57      1.00
    W_tilde[50,1]      8.13      2.18      7.99      4.50     11.35    541.03      1.00
    W_tilde[50,2]     -7.36      2.45     -7.30    -11.20     -3.41    660.98      1.00
    W_tilde[50,3]      3.48      1.00      3.43      1.84      5.10    427.81      1.00
    W_tilde[50,4]     -3.51      1.82     -3.26     -6.29     -0.78    747.46      1.00
